ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
237344,variable,,The Golden Elixir Canvas,1,0,visible,"&nbsp;
\n<p class=""p1""><b>CANVAS</b>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars</p>
\n<p class=""p1""><b>NOTE</b>
\n— Please allow 2 - 3 weeks for printing and shipping</p>
\nPoint of balance on the omni-centric nexus of pure truth. The immortal fetus, in a state of perfect serenity in this crossing. The juxtaposed orbits of heaven and earth illuminate the way.",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-golden-elixir-18x36-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-golden-elixir-14-x-28-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-golden-elixir.jpg",,,,,,,,,245,size,"11x17"" Paper Print, 14x28"" Stretched Canvas, 18x36"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237345,variable,,Angelic Source Guidance Canvas,1,0,visible,"<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\nAn immortal presence in a state of perfect serenity (An angelic being encountered in lucid dreams)",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,Canvas Shipping,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/angelic-source-guidance-32x22-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/angelic-source-guidance-32x22-canvas.jpg",,,,,,,,,275,size,"11x17"" Paper Print, 30x22"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237349,variation,CNVS-14X28-GLD-ELIX,"The Golden Elixir Canvas - 14x28"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.5,28,14,1,0,,,260,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-golden-elixir-14-x-28-canvas.jpg,,,id:237344,,,,,,2,size,"14x28"" Stretched Canvas",,1,,,,,
237350,variation,CNVS-18X36-GLD-ELIX,"The Golden Elixir Canvas - 18x36"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.3,36,18,1,0,,,320,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-golden-elixir-18x36-canvas.jpg,,,id:237344,,,,,,3,size,"18x36"" Stretched Canvas",,1,,,,,
237351,variable,,Pumpkin Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<b>NOTE</b>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\nPumpkin the Lemur is ready for any adventure.",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/pumpkin-30x46-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/pumpkin-20x30-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/pumpkin.jpg",,,,,,,,,215,size,"11x17"" Paper Print, 20x30"" Stretched Canvas, 30x46"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237352,variation,CNVS-30X46-PMKN,"Pumpkin Canvas - 30x46"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,3.9,45,30,1,0,,,444,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/pumpkin-30x46-canvas.jpg,,,id:237351,,,,,,3,size,"30x46"" Stretched Canvas",,1,,,,,
237353,variation,CNVS-20X30-PMKN,"Pumpkin Canvas - 20x30"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.12,30,20,1,0,,,300,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/pumpkin-20x30-canvas.jpg,,,id:237351,,,,,,2,size,"20x30"" Stretched Canvas",,1,,,,,
237354,variable,,Crystalline Dreams Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\n‘The same fabric of space we inhabit, where we imagine these elaborate dreams, and haven’t even ever seen a fraction of what we really are…Truth be told we nuclear souls, Indigo, in the cold, new to these zones…Carbon based body make a suitable home, my temporary temple, I’m soon to be gone.’ ~ excerpt from ‘Makeshift Kingdom’ by Sweatshop Union",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-dreams-20x30-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-dreams-16x24-canvas.jpg",,,,,,,,,174,size,"11x17"" Paper Print, 16x24"" Stretched Canvas, 20x30"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237355,variation,CNVS-16X24-CRYS-DRM,"Crystalline Dreams Canvas - 16x24"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.5,24,16,1,0,,,240,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-dreams-16x24-canvas.jpg,,,id:237354,,,,,,2,size,"16x24"" Stretched Canvas",,1,,,,,
237357,variable,,Mythical Guardian Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\nBarong is a lion faced protector spirit from the Islands of Indonesia. He chases away demons through his energetic dancing.",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/mythical-guardian-20x30-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/mythical-guardian-16x24-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/mythical-guardian.jpg",,,,,,,,,261,size,"11x17"" Paper Print, 16x24"" Stretched Canvas, 20x30"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237359,variation,CNVS-20X30-MTH-GRD,"Mythical Guardian Canvas - 20x30"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,,30,20,1,0,,,300,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/mythical-guardian-20x30-canvas.jpg,,,id:237357,,,,,,3,size,"20x30"" Stretched Canvas",,1,,,,,
237360,variable,,Ego Bender Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\nAn abstract self portrait made while contemplating ego and self.",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/ego-bender-18x24-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/ego-bender.jpg",,,,,,,,,271,size,"11x17"" Paper Print, 24x18"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237362,variation,CNVS-24X18-EGO-BDR,"Ego Bender Canvas - 24x18"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.12,24,18,1,0,,,240,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/ego-bender-18x24-canvas.jpg,,,id:237360,,,,,,2,size,"24x18"" Stretched Canvas",,1,,,,,
237363,variable,,Invoking the Sacred Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<b>NOTE</b>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\n'We return thanks to our mother, the earth,
\nwhich sustains us.
\nWe return thanks to the rivers and streams,
\nwhich supply us with water.
\nWe return thanks to all herbs,
\nwhich furnish medicines for the cure of our diseases.
\nWe return thanks to the moon and stars,
\nwhich have given to us their light when the sun was gone.
\nWe return thanks to the sun,
\nthat has looked upon the earth with a beneficent eye.
\nLastly, we return thanks to the Great Spirit,
\nin Whom is embodied all goodness,
\nand Who directs all things for the good of Her children.'
\n~ Iroquois prayer",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/invoking-the-sacred-20x11-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/invoking-the-sacred.jpg",,,,,,,,,255,size,"11x17"" Paper Print, 20x11"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237364,variation,CNVS-20X11-INV-SCRD,"Invoking the Sacred Canvas - 20x11"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,0.8,20,11,1,0,,,110,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/invoking-the-sacred-20x11-canvas.jpg,,,id:237363,,,,,,2,size,"20x11"" Stretched Canvas",,1,,,,,
237365,variable,,White Tara Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\nTārā is a meditation deity worshiped by practitioners of the Tibetan branch of Vajrayana Buddhism to develop certain inner qualities and to understand outer, inner and secret teachings such as karuṇā (compassion), mettā (loving-kindness), and shunyata (emptiness). Tārā may more properly be understood as different aspects of the same quality, as bodhisattvas are often considered metaphors for Buddhist virtues. Her seven eyes are symbolic of watchfulness and compassion.",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/white-tara-20x30-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/white-tara-16x24-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/white-tara.jpg",,,,,,,,,247,size,"11x17"" Paper Print, 16x24"" Stretched Canvas, 20x30"" Stertched Canvas, Choose An Option",0,1,Choose An Option,,,,
237367,variation,CNVS-16X24-WHT-TAR,"White Tara Canvas - 16x24"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.5,24,16,1,0,,,240,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/white-tara-16x24-canvas.jpg,,,id:237365,,,,,,2,size,"16x24"" Stretched Canvas",,1,,,,,
237368,variation,CNVS-20X30-WHT-TAR,"White Tara Canvas - 20x30"" Stertched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.12,30,20,1,0,,,300,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/white-tara-20x30-canvas.jpg,,,id:237365,,,,,,3,size,"20x30"" Stertched Canvas",,1,,,,,
237369,simple,PP-11X17-ATH-ART,Athene Artemisia Print,1,0,visible,"&nbsp;
\n
\n<strong>PAPER / GICLEE PRINTS
\n</strong>— Printed on archival glossy paper
\n
\n<strong>SIZE</strong>
\n— 11″ x 17″ in
\n
\n<strong>NOTE</strong>
\n— Dispatched within 3 business days
\n— Shipped with backing board and plastic sleeve
\n
\nAthene or Athena is a Greek goddess of wisdom, courage, inspiration and the arts. She is often said to have had ""bright eyes"", which is thought to be the reason why she shares the same root word with the owl. Athene is often depicted with an owl, seeing through the dark and bringing wisdom and guidance to those who ask. Artemis is the goddess of the wild lands, reminding us of our origins and our instincts.",,,,taxable,,1,1,,0,0,0.25,17,11,0.5,0,,32,45,"Prints > Paper Prints, Prints",,,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/athene-artemisia.jpg,,,,,,,,,274,size,"11x17"" Paper Print, 30x22"" Stretched Canvas, 40x30"" Stretched Canvas, Choose An Option",0,1,,,,,
237372,variable,,Crystalline Wolf Totem Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\n<b>'</b>Wolf is the Grand Teacher. Wolf is the sage, who after many winters upon the sacred path and seeking the ways of wisdom, returns to share new knowledge with the tribe. Wolf is both the radical and the traditional in the same breath. When the Wolf walks by you - you will remember.' - Robert Ghost Wolf","[et_pb_section fb_built=""1"" _builder_version=""3.22"" custom_padding=""0px||||false|false""][et_pb_row _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" custom_padding=""0px||0px||false|false""][et_pb_column type=""4_4"" _builder_version=""3.25"" custom_padding=""|||"" custom_padding__hover=""|||""][et_pb_wc_breadcrumb _builder_version=""3.0.47""][/et_pb_wc_breadcrumb][et_pb_wc_cart_notice _builder_version=""3.0.47""][/et_pb_wc_cart_notice][/et_pb_column][/et_pb_row][et_pb_row column_structure=""1_2,1_2"" _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" custom_padding=""0px||||false|false""][et_pb_column type=""1_2"" _builder_version=""3.25"" custom_padding=""|||"" custom_padding__hover=""|||""][et_pb_wc_images _builder_version=""3.0.47""][/et_pb_wc_images][/et_pb_column][et_pb_column type=""1_2"" _builder_version=""3.25"" custom_padding=""|||"" custom_padding__hover=""|||""][et_pb_wc_title _builder_version=""3.0.47""][/et_pb_wc_title][et_pb_wc_rating _builder_version=""3.0.47""][/et_pb_wc_rating][et_pb_wc_price _builder_version=""3.0.47""][/et_pb_wc_price][et_pb_wc_description _builder_version=""3.0.47""][/et_pb_wc_description][et_pb_wc_add_to_cart _builder_version=""3.0.47""][/et_pb_wc_add_to_cart][et_pb_wc_meta _builder_version=""3.0.47""][/et_pb_wc_meta][/et_pb_column][/et_pb_row][et_pb_row _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%""][et_pb_column type=""4_4"" _builder_version=""3.25"" custom_padding=""|||"" custom_padding__hover=""|||""][et_pb_wc_tabs _builder_version=""3.0.47""]					[/et_pb_wc_tabs][et_pb_wc_upsells _builder_version=""3.0.47""][/et_pb_wc_upsells][et_pb_wc_related_products _builder_version=""3.0.47""][/et_pb_wc_related_products][/et_pb_column][/et_pb_row][/et_pb_section][et_pb_section fb_built=""1"" admin_label=""section"" _builder_version=""3.22""][et_pb_row admin_label=""row"" _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat""][et_pb_column type=""4_4"" _builder_version=""3.25"" custom_padding=""|||"" custom_padding__hover=""|||""][et_pb_text admin_label=""Text"" _builder_version=""3.27.4"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat""][/et_pb_text][/et_pb_column][/et_pb_row][/et_pb_section]",,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-wolf-totem-18x28-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-wolf-totem-14x22-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-wolf-totem.jpg",,,,,,,,,156,size,"11x17"" Paper Print, 14x22"" Stretched Canvas, 18x28"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
